,Animals,Diet,Type,Length
7696,Rüppell's parrot,Herbivore,Bird,3433
7697,Rüppell's robin-chat,Carnivore,Bird,3415
7698,Rüppell's starling,Omnivore,Bird,1240
7699,Rüppell's vulture,Scavenger,Bird,16241
7700,Rüppell's warbler,Carnivore,Bird,3689
7701,Rüppell's weaver,Herbivore,Bird,2719
7702,Ruspoli's turaco,Herbivore,Bird,2525
7703,Russet antshrike,Carnivore,Bird,4309
7704,Russet bush warbler,Carnivore,Bird,1981
7705,Russet nightingale-thrush,Omnivore,Bird,2315
7706,Russet sparrow,Herbivore,Bird,42894
7707,Russet-backed oropendola,Omnivore,Bird,2496
7708,Russet-bellied spinetail,Carnivore,Bird,5740
7709,Russet-capped tesia,Carnivore,Bird,1189
7710,Russet-crowned crake,Carnivore,Bird,7945
7711,Russet-crowned motmot,Carnivore,Bird,17888
7712,Russet-crowned quail-dove,Herbivore,Bird,4875
7713,Russet-crowned warbler,Carnivore,Bird,3322
7714,Russet-mantled softtail,Carnivore,Bird,7764
7715,Russet-naped wood rail,Carnivore,Bird,8274
7716,Russet-tailed thrush,Carnivore,Bird,1687
7717,Russet-throated puffbird,Carnivore,Bird,7037
7718,Russet-winged schiffornis,Omnivore,Bird,2333
7719,Russet-winged spadebill,Carnivore,Bird,1392
7720,Rust-and-yellow tanager,Carnivore,Bird,1203
7721,Rustic bunting,Herbivore,Bird,2931
7722,Rusty blackbird,Omnivore,Bird,14477
7723,Rusty bush lark,Omnivore,Bird,2383
7724,Rusty flowerpiercer,Omnivore,Bird,1492
7725,Rusty laughingthrush,Omnivore,Bird,2620
7726,Rusty mouse-warbler,Carnivore,Bird,2734
7727,Rusty pitohui,Omnivore,Bird,4411
7728,Rusty sparrow,Herbivore,Bird,1456
7729,Rusty thicketbird,Carnivore,Bird,1363
7730,Rusty tinamou,Herbivore,Bird,4286
7731,Rusty whistler,Carnivore,Bird,2788
7732,Rusty-backed antwren,Carnivore,Bird,6346
7733,Rusty-backed monjita,Carnivore,Bird,2646
7734,Rusty-backed spinetail,Carnivore,Bird,10616
7735,Rusty-barred owl,Carnivore,Bird,7345
7736,Rusty-bellied brushfinch,Omnivore,Bird,1433
7737,Rusty-bellied shortwing,Carnivore,Bird,2969
7738,Rusty-belted tapaculo,Carnivore,Bird,6452
7739,Rusty-breasted antpitta,Carnivore,Bird,1913
7740,Rusty-breasted nunlet,Carnivore,Bird,8903
7741,Rusty-breasted whistler,Carnivore,Bird,3534
7742,Rusty-breasted wren-babbler,Carnivore,Bird,1426
7743,Rusty-browed warbling finch,Omnivore,Bird,1233
7744,Rusty-capped fulvetta,Carnivore,Bird,1861
7745,Rusty-capped kingfisher,Carnivore,Bird,4010
7746,Rusty-cheeked scimitar babbler,Carnivore,Bird,3245
7747,Rusty-collared seedeater,Herbivore,Bird,6518
7748,Rusty-crowned babbler,Carnivore,Bird,1474
7749,Rusty-crowned ground sparrow,Omnivore,Bird,2424
7750,Rusty-crowned tit-spinetail,Carnivore,Bird,6346
7751,Rusty-faced parrot,Herbivore,Bird,7282
7752,Rusty-flanked crake,Carnivore,Bird,5253
7753,Rusty-flanked treecreeper,Carnivore,Bird,1345
7754,Rusty-fronted barwing,Omnivore,Bird,1986
7755,Rusty-fronted canastero,Carnivore,Bird,5634
7756,Rusty-fronted tody-flycatcher,Carnivore,Bird,1498
7757,Rusty-headed spinetail,Carnivore,Bird,1511
7758,Rusty-margined flycatcher,Carnivore,Bird,6100
7759,Rusty-margined guan,Herbivore,Bird,8369
7760,Rusty-naped pitta,Carnivore,Bird,4802
7761,Rusty-necked piculet,Carnivore,Bird,4983
7762,Rusty-tailed flycatcher,Carnivore,Bird,4154
7763,Rusty-tinged antpitta,Omnivore,Bird,1340
7764,Rusty-vented canastero,Omnivore,Bird,8813
7765,Rusty-winged barbtail,Carnivore,Bird,9162
7766,Rusty-winged starling,Herbivore,Bird,3234
7767,Rwenzori apalis,Carnivore,Bird,2227
7768,Rwenzori batis,Carnivore,Bird,4606
7769,Rwenzori double-collared sunbird,Omnivore,Bird,3111
7770,Rwenzori hill babbler,Carnivore,Bird,3364
7771,Rwenzori turaco,Herbivore,Bird,1459
7772,Ryukyu minivet,Carnivore,Bird,2314
7773,Ryukyu robin,Carnivore,Bird,3917
7774,Ryūkyū scops owl,Carnivore,Bird,3467
7775,Sabine's gull,Carnivore,Bird,11899
7776,Sabine's puffback,Carnivore,Bird,1466
7777,Sabine's spinetail,Carnivore,Bird,1821
7778,Sabota lark,Herbivore,Bird,6220
7779,Sacred kingfisher,Carnivore,Bird,13546
7780,Sad flycatcher,Carnivore,Bird,1365
7781,Saddle-billed stork,Carnivore,Bird,12599
7782,Saffron finch,Herbivore,Bird,6861
7783,Saffron siskin,Herbivore,Bird,3880
7784,Saffron toucanet,Herbivore,Bird,13700
7785,Saffron-billed sparrow,Herbivore,Bird,5346
7786,Saffron-cowled blackbird,Carnivore,Bird,6316
7787,Saffron-crested tyrant-manakin,Omnivore,Bird,6117
7788,Saffron-crowned tanager,Herbivore,Bird,10515
7789,Saffron-headed parrot,Herbivore,Bird,8593
7790,Sage thrasher,Carnivore,Bird,12428
7791,Sagebrush sparrow,Herbivore,Bird,2580
7792,Sahel bush sparrow,Herbivore,Bird,3476
7793,Sahel paradise whydah,Herbivore,Bird,3269
7794,Saint Helena plover,Carnivore,Bird,6045
7795,Saint Lucia amazon,Herbivore,Bird,5584
7796,Saint Lucia black finch,Omnivore,Bird,1592
7797,Saint Lucia oriole,Omnivore,Bird,5004
7798,Saint Lucia warbler,Carnivore,Bird,1314
7799,Saint Vincent amazon,Herbivore,Bird,5581
7800,Saipan reed warbler,Carnivore,Bird,2747
7801,Sakalava rail,Carnivore,Bird,10755
7802,Sakalava weaver,Herbivore,Bird,8026
7803,Saker falcon,Carnivore,Bird,19211
7804,Sakhalin grasshopper warbler,Carnivore,Bird,1782
7805,Sakhalin leaf warbler,Carnivore,Bird,1163
7806,Salinas monjita,Carnivore,Bird,2497
7807,Salmon-crested cockatoo,Herbivore,Bird,12371
7808,Saltmarsh sparrow,Carnivore,Bird,22075
7809,Salvadori's antwren,Carnivore,Bird,1409
7810,Salvadori's fig parrot,Herbivore,Bird,2047
7811,Salvadori's nightjar,Carnivore,Bird,1219
7812,Salvadori's pheasant,Omnivore,Bird,4854
7813,Salvadori's seedeater,Herbivore,Bird,2621
7814,Salvadori's teal,Carnivore,Bird,8139
7815,Salvin's albatross,Carnivore,Bird,15458
7816,Salvin's curassow,Herbivore,Bird,5165
7817,Salvin's prion,Carnivore,Bird,8444
7818,Samoan fantail,Carnivore,Bird,3328
7819,Samoan flycatcher,Carnivore,Bird,1806
7820,Samoan starling,Herbivore,Bird,2539
7821,Samoan triller,Carnivore,Bird,3067
7822,Samoan whistler,Carnivore,Bird,1699
7823,Samoan white-eye,Omnivore,Bird,1366
7824,San Andres vireo,Omnivore,Bird,4707
7825,San Blas jay,Omnivore,Bird,4977
7826,San Cristóbal mockingbird,Carnivore,Bird,6107
7827,Sand lark,Omnivore,Bird,8360
7828,Sand martin,Carnivore,Bird,13546
7829,Sand partridge,Herbivore,Bird,12683
7830,Sand-coloured nighthawk,Carnivore,Bird,6222
7831,Sanderling,Carnivore,Bird,14271
7832,Sandhill crane,Omnivore,Bird,42540
7833,Sandstone shrikethrush,Carnivore,Bird,1196
7834,Sandwich tern,Carnivore,Bird,11569
7835,Sandy gallito,Carnivore,Bird,4857
7836,Sandy scops owl,Carnivore,Bird,4721
7837,Sanford's sea eagle,Carnivore,Bird,6099
7838,Sanford's white-eye,Omnivore,Bird,1711
7839,Sangihe hanging parrot,Herbivore,Bird,1738
7840,Sangihe pitta,Carnivore,Bird,1182
7841,Sangihe scops owl,Carnivore,Bird,5879
7842,Sangihe white-eye,Omnivore,Bird,1877
7843,Sangkar white-eye,Omnivore,Bird,4039
7844,Santa Cruz ground dove,Herbivore,Bird,2552
7845,Santa Cruz shrikebill,Carnivore,Bird,1712
7846,Santa Cruz white-eye,Omnivore,Bird,1033
7847,Santa Marta antbird,Carnivore,Bird,1893
7848,Santa Marta antpitta,Carnivore,Bird,1733
7849,Santa Marta blossomcrown,Herbivore,Bird,6291
7850,Santa Marta brushfinch,Omnivore,Bird,1393
7851,Santa Marta bush tyrant,Carnivore,Bird,1971
7852,Santa Marta foliage-gleaner,Carnivore,Bird,8358
7853,Santa Marta mountain tanager,Herbivore,Bird,1655
7854,Santa Marta parakeet,Herbivore,Bird,7058
7855,Santa Marta sabrewing,Herbivore,Bird,7760
7856,Santa Marta screech owl,Carnivore,Bird,4414
7857,Santa Marta tapaculo,Carnivore,Bird,3818
7858,Santa Marta warbler,Carnivore,Bird,2687
7859,Santa Marta woodstar,Herbivore,Bird,5753
7860,Santa Marta wren,Carnivore,Bird,4306
7861,Santarem parakeet,Herbivore,Bird,7672
7862,São Francisco sparrow,Herbivore,Bird,1739
7863,São Paulo tyrannulet,Carnivore,Bird,1398
7864,São Tomé fiscal,Carnivore,Bird,4246
7865,São Tomé green pigeon,Herbivore,Bird,4952
7866,São Tomé grosbeak,Herbivore,Bird,4801
7867,São Tomé ibis,Carnivore,Bird,16981
7868,São Tomé olive pigeon,Herbivore,Bird,2800
7869,São Tomé oriole,Herbivore,Bird,1924
7870,São Tomé paradise flycatcher,Carnivore,Bird,2285
7871,São Tomé prinia,Carnivore,Bird,1586
7872,São Tomé scops owl,Carnivore,Bird,4333
7873,São Tomé shorttail,Carnivore,Bird,3601
7874,São Tomé spinetail,Carnivore,Bird,1261
7875,São Tomé thrush,Omnivore,Bird,1867
7876,São Tomé weaver,Herbivore,Bird,1392
7877,São Tomé white-eye,Omnivore,Bird,1670
7878,Sapayoa,Omnivore,Bird,11842
7879,Sapphire flycatcher,Carnivore,Bird,1517
7880,Sapphire quail-dove,Omnivore,Bird,5514
7881,Sapphire-rumped parrotlet,Herbivore,Bird,9170
7882,Sapphire-spangled emerald,Herbivore,Bird,12667
7883,Sapphire-vented puffleg,Herbivore,Bird,8661
7884,Sardinian warbler,Omnivore,Bird,13521
7885,Sarus crane,Omnivore,Bird,81003
7886,Sassi's olive greenbul,Carnivore,Bird,2212
7887,Satanic nightjar,Carnivore,Bird,12927
7888,Satin bowerbird,Omnivore,Bird,9930
7889,Satin flycatcher,Carnivore,Bird,6961
7890,Saturnine antshrike,Carnivore,Bird,1757
7891,Satyr tragopan,Herbivore,Bird,6893
7892,Saunders's gull,Carnivore,Bird,5767
7893,Saunders's tern,Carnivore,Bird,4736
7894,Savanna hawk,Carnivore,Bird,4923
7895,Savanna nightjar,Carnivore,Bird,4488
7896,Savannah sparrow,Omnivore,Bird,39563
7897,Savile's bustard,Omnivore,Bird,11197
7898,Savi's warbler,Carnivore,Bird,10543
7899,Saw-billed hermit,Herbivore,Bird,5700
7900,Saxaul sparrow,Herbivore,Bird,28787
7901,Sayaca tanager,Herbivore,Bird,6948
7902,Say's phoebe,Carnivore,Bird,10589
7903,Scale-crested pygmy tyrant,Carnivore,Bird,1823
7904,Scaled antbird,Carnivore,Bird,1323
7905,Scaled antpitta,Carnivore,Bird,1935
7906,Scaled chachalaca,Herbivore,Bird,5104
7907,Scaled dove,Herbivore,Bird,6387
7908,Scaled flowerpiercer,Herbivore,Bird,1148
7909,Scaled fruiteater,Omnivore,Bird,1672
7910,Scaled metaltail,Herbivore,Bird,5697
7911,Scaled piculet,Carnivore,Bird,6638
7912,Scaled pigeon,Herbivore,Bird,8723
7913,Scaled quail,Herbivore,Bird,24454
7914,Scaled spinetail,Carnivore,Bird,5599
7915,Scaled woodcreeper,Carnivore,Bird,7663
7916,Scale-feathered malkoha,Carnivore,Bird,1615
7917,Scale-throated earthcreeper,Carnivore,Bird,7505
7918,Scale-throated hermit,Herbivore,Bird,6833
7919,Scallop-breasted antpitta,Carnivore,Bird,1771
7920,Scalloped antbird,Carnivore,Bird,2676
7921,Scalloped woodcreeper,Carnivore,Bird,7158
7922,Scaly babbler,Omnivore,Bird,1374
7923,Scaly chatterer,Omnivore,Bird,2985
7924,Scaly ground roller,Carnivore,Bird,9013
7925,Scaly laughingthrush,Carnivore,Bird,1770
7926,Scaly spurfowl,Herbivore,Bird,4823
7927,Scaly thrush,Carnivore,Bird,4090
7928,Scaly-bellied woodpecker,Carnivore,Bird,1676
7929,Scaly-breasted cupwing,Omnivore,Bird,2831
7930,Scaly-breasted honeyeater,Omnivore,Bird,1337
7931,Scaly-breasted hummingbird,Herbivore,Bird,9721
7932,Scaly-breasted illadopsis,Carnivore,Bird,1353
7933,Scaly-breasted kingfisher,Carnivore,Bird,4859
7934,Scaly-breasted lorikeet,Herbivore,Bird,8129
7935,Scaly-breasted munia,Herbivore,Bird,40079
7936,Scaly-breasted thrasher,Omnivore,Bird,5619
7937,Scaly-crowned babbler,Carnivore,Bird,1446
7938,Scaly-crowned honeyeater,Herbivore,Bird,1953
7939,Scaly-feathered weaver,Herbivore,Bird,1399
7940,Scaly-headed parrot,Herbivore,Bird,9800
7941,Scaly-naped amazon,Herbivore,Bird,4998
7942,Scaly-naped pigeon,Herbivore,Bird,3977
7943,Scaly-sided merganser,Carnivore,Bird,10638
7944,Scaly-throated foliage-gleaner,Carnivore,Bird,11055
7945,Scaly-throated honeyguide,Carnivore,Bird,2875
7946,Scaly-throated leaftosser,Carnivore,Bird,9499
7947,Scarce swift,Carnivore,Bird,2360
7948,Scarlet finch,Herbivore,Bird,4263
7949,Scarlet flycatcher,Carnivore,Bird,6679
7950,Scarlet ibis,Carnivore,Bird,26036
7951,Scarlet macaw,Herbivore,Bird,20110
7952,Scarlet myzomela,Herbivore,Bird,25820
7953,Scarlet robin,Carnivore,Bird,7705
7954,Scarlet tanager,Carnivore,Bird,16051
7955,Scarlet-and-white tanager,Omnivore,Bird,10475
7956,Scarlet-backed flowerpecker,Herbivore,Bird,10676
7957,Scarlet-backed woodpecker,Carnivore,Bird,7437
7958,Scarlet-banded barbet,Herbivore,Bird,6431
7959,Scarlet-bellied mountain tanager,Herbivore,Bird,2461
7960,Scarlet-breasted dacnis,Herbivore,Bird,1058
7961,Scarlet-breasted flowerpecker,Carnivore,Bird,1383
7962,Scarlet-breasted fruit dove,Herbivore,Bird,3408
7963,Scarlet-breasted fruiteater,Herbivore,Bird,10123
7964,Scarlet-browed tanager,Omnivore,Bird,1232
7965,Scarlet-chested parrot,Herbivore,Bird,9389
7966,Scarlet-chested sunbird,Omnivore,Bird,5492
7967,Scarlet-collared flowerpecker,Herbivore,Bird,3772
7968,Scarlet-crowned barbet,Herbivore,Bird,6043
7969,Scarlet-faced liocichla,Omnivore,Bird,1525
7970,Scarlet-fronted parakeet,Herbivore,Bird,8650
7971,Scarlet-headed blackbird,Carnivore,Bird,4591
7972,Scarlet-headed flowerpecker,Omnivore,Bird,10696
7973,Scarlet-hooded barbet,Herbivore,Bird,4148
7974,Scarlet-horned manakin,Herbivore,Bird,1349
7975,Scarlet-rumped cacique,Carnivore,Bird,8309
7976,Scarlet-rumped tanager,Omnivore,Bird,4493
7977,Scarlet-rumped trogon,Carnivore,Bird,1489
7978,Scarlet-shouldered parrotlet,Herbivore,Bird,6166
7979,Scarlet-thighed dacnis,Herbivore,Bird,2111
7980,Scarlet-throated tanager,Carnivore,Bird,5303
7981,Scarlet-tufted sunbird,Omnivore,Bird,4047
7982,Schalow's turaco,Herbivore,Bird,4138
7983,Scheepmaker's crowned pigeon,Herbivore,Bird,4179
7984,Schlegel's asity,Herbivore,Bird,1430
7985,Schlegel's francolin,Herbivore,Bird,2525
7986,Schneider's pitta,Carnivore,Bird,1294
7987,Schwartz's antthrush,Carnivore,Bird,1891
7988,Scimitar-billed woodcreeper,Carnivore,Bird,8664
7989,Scimitar-winged piha,Omnivore,Bird,1530
7990,Scintillant hummingbird,Herbivore,Bird,4629
7991,Scissor-tailed flycatcher,Omnivore,Bird,11274
7992,Scissor-tailed hummingbird,Herbivore,Bird,6866
7993,Scissor-tailed kite,Carnivore,Bird,7724
7994,Scissor-tailed nightjar,Carnivore,Bird,8677
7995,Sclater's antwren,Carnivore,Bird,1562
7996,Sclater's crowned pigeon,Herbivore,Bird,4345
7997,Sclater's lark,Omnivore,Bird,2651
7998,Sclater's monal,Herbivore,Bird,4204
7999,Sclater's myzomela,Herbivore,Bird,1218
8000,Sclater's tyrannulet,Carnivore,Bird,1478
8001,Sclater's whistler,Carnivore,Bird,2386
8002,Sclater's wren,Carnivore,Bird,5044
8003,Scopoli's shearwater,Carnivore,Bird,14825
8004,Scottish crossbill,Herbivore,Bird,13833
8005,Scott's oriole,Carnivore,Bird,5953
8006,Screaming cowbird,Omnivore,Bird,20607
8007,Screaming piha,Omnivore,Bird,5381
8008,Scribble-tailed canastero,Carnivore,Bird,6641
8009,Scripps's murrelet,Carnivore,Bird,7453
8010,Scrub blackbird,Omnivore,Bird,1274
8011,Scrub euphonia,Herbivore,Bird,3908
8012,Scrub greenlet,Carnivore,Bird,6494
8013,Scrub honeyeater,Omnivore,Bird,1197
8014,Scrub tanager,Omnivore,Bird,1313
8015,Scrubtit,Carnivore,Bird,6529
8016,Seaside sparrow,Carnivore,Bird,13916
8017,Secretarybird,Carnivore,Bird,53167
8018,Sedge warbler,Carnivore,Bird,19564
8019,Sedge wren,Carnivore,Bird,19359
8020,See-see partridge,Herbivore,Bird,2910
8021,Selva cacique,Omnivore,Bird,3719
8022,Semicollared flycatcher,Carnivore,Bird,3996
8023,Semicollared hawk,Carnivore,Bird,7377
8024,Semicollared puffbird,Carnivore,Bird,4721
8025,Semipalmated plover,Carnivore,Bird,6718
8026,Semipalmated sandpiper,Carnivore,Bird,7364
8027,Semiplumbeous hawk,Carnivore,Bird,5597
8028,Semper's warbler,Carnivore,Bird,3789
8029,Senegal batis,Carnivore,Bird,9374
8030,Senegal coucal,Carnivore,Bird,7328
8031,Senegal eremomela,Carnivore,Bird,4314
8032,Senegal lapwing,Carnivore,Bird,2424
8033,Senegal parrot,Herbivore,Bird,13926
8034,Senegal thick-knee,Carnivore,Bird,2834
8035,Sennar penduline tit,Carnivore,Bird,1372
8036,Sentinel rock thrush,Omnivore,Bird,1481
8037,Sepia-brown wren,Carnivore,Bird,5909
8038,Sepia-capped flycatcher,Carnivore,Bird,1497
8039,Seram boobook,Carnivore,Bird,3716
8040,Seram friarbird,Herbivore,Bird,2332
8041,Seram golden bulbul,Omnivore,Bird,3068
8042,Seram honeyeater,Herbivore,Bird,1227
8043,Seram imperial pigeon,Herbivore,Bird,1253
8044,Seram masked owl,Carnivore,Bird,2371
8045,Seram mountain pigeon,Herbivore,Bird,11180
8046,Seram thrush,Carnivore,Bird,1184
8047,Seram white-eye,Omnivore,Bird,2148
8048,Serendib scops owl,Carnivore,Bird,7249
8049,Serra antwren,Carnivore,Bird,6778
8050,Serra do Mar tyrannulet,Carnivore,Bird,1553
8051,Serra,Omnivore,Bird,4734
8052,Serra finch,Omnivore,Bird,1471
8053,Seven-colored tanager,Omnivore,Bird,2102
8054,Seychelles black parrot,Herbivore,Bird,4293
8055,Seychelles blue pigeon,Herbivore,Bird,3895
8056,Seychelles bulbul,Omnivore,Bird,3382
8057,Seychelles fody,Carnivore,Bird,3511
8058,Seychelles kestrel,Carnivore,Bird,4957
8059,Seychelles magpie-robin,Carnivore,Bird,4691
8060,Seychelles paradise flycatcher,Carnivore,Bird,5207
8061,Seychelles scops owl,Carnivore,Bird,3576
8062,Seychelles sunbird,Herbivore,Bird,4057
8063,Seychelles swiftlet,Carnivore,Bird,3502
8064,Seychelles warbler,Carnivore,Bird,12027
8065,Seychelles white-eye,Omnivore,Bird,4549
8066,Shade bush warbler,Carnivore,Bird,1233
8067,Shaft-tailed whydah,Herbivore,Bird,5405
8068,Sharp-beaked ground finch,Herbivore,Bird,2829
8069,Sharpbill,Herbivore,Bird,7908
8070,Sharp-billed canastero,Carnivore,Bird,8439
8071,Sharp-billed treehunter,Carnivore,Bird,8419
8072,Sharpe's akalat,Carnivore,Bird,2307
8073,Sharpe's apalis,Carnivore,Bird,1700
8074,Sharpe's longclaw,Carnivore,Bird,5029
8075,Sharpe's rosefinch,Herbivore,Bird,5456
8076,Sharpe's starling,Herbivore,Bird,1569
8077,Sharp-shinned hawk,Carnivore,Bird,21228
8078,Sharp-tailed grass tyrant,Carnivore,Bird,1604
8079,Sharp-tailed grouse,Herbivore,Bird,39198
8080,Sharp-tailed ibis,Carnivore,Bird,17399
8081,Sharp-tailed sandpiper,Carnivore,Bird,12655
8082,Sharp-tailed starling,Herbivore,Bird,1624
8083,Sharp-tailed streamcreeper,Carnivore,Bird,13119
8084,Shear-tailed grey tyrant,Carnivore,Bird,1949
8085,Shelley's crimsonwing,Herbivore,Bird,3769
8086,Shelley's eagle-owl,Carnivore,Bird,10906
8087,Shelley's francolin,Herbivore,Bird,1841
8088,Shelley's greenbul,Omnivore,Bird,3161
8089,Shelley's oliveback,Omnivore,Bird,1374
8090,Shelley's sparrow,Herbivore,Bird,2991
8091,Shelley's starling,Omnivore,Bird,1502
8092,Shelley's sunbird,Omnivore,Bird,1796
8093,Shining bronze cuckoo,Carnivore,Bird,17217
8094,Shining drongo,Carnivore,Bird,1349
8095,Shining flycatcher,Carnivore,Bird,3936
8096,Shining honeycreeper,Herbivore,Bird,3618
8097,Shining sunbeam,Herbivore,Bird,7501
8098,Shining sunbird,Herbivore,Bird,2468
8099,Shining-blue kingfisher,Carnivore,Bird,3918
8100,Shiny cowbird,Omnivore,Bird,20577
8101,Shiny whistling thrush,Herbivore,Bird,1153
8102,Shoebill,Carnivore,Bird,30178
8103,Shore plover,Carnivore,Bird,17292
8104,Short-bearded honeyeater,Herbivore,Bird,2539
8105,Short-billed canastero,Carnivore,Bird,8049
8106,Short-billed dowitcher,Carnivore,Bird,10767
8107,Short-billed honeycreeper,Omnivore,Bird,1338
8108,Short-billed leaftosser,Carnivore,Bird,8468
8109,Short-billed miner,Omnivore,Bird,6172
8110,Short-billed minivet,Carnivore,Bird,1553
8111,Short-billed pigeon,Herbivore,Bird,4146
8112,Short-billed pipit,Carnivore,Bird,1712
8113,Short-clawed lark,Omnivore,Bird,2894
8114,Short-crested coquette,Herbivore,Bird,5674
8115,Short-crested flycatcher,Omnivore,Bird,5432
8116,Short-crested monarch,Carnivore,Bird,3652
8117,Short-eared owl,Carnivore,Bird,21923
8118,Short-legged ground roller,Carnivore,Bird,7446
8119,Short-tailed albatross,Carnivore,Bird,20757
8120,Short-tailed antthrush,Carnivore,Bird,1517
8121,Short-tailed babbler,Carnivore,Bird,2611
8122,Short-tailed emerald,Herbivore,Bird,10853
8123,Short-tailed field tyrant,Carnivore,Bird,1993
8124,Short-tailed grasswren,Omnivore,Bird,1551
8125,Short-tailed hawk,Carnivore,Bird,11716
8126,Short-tailed lark,Herbivore,Bird,3680
8127,Short-tailed nighthawk,Carnivore,Bird,10309
8128,Short-tailed paradigalla,Omnivore,Bird,2404
8129,Short-tailed parrot,Herbivore,Bird,6400
8130,Short-tailed parrotbill,Omnivore,Bird,3012
8131,Short-tailed pipit,Carnivore,Bird,1479
8132,Short-tailed pygmy tyrant,Carnivore,Bird,4895
8133,Short-tailed scimitar babbler,Carnivore,Bird,1594
8134,Short-tailed shearwater,Carnivore,Bird,8913
8135,Short-tailed starling,Herbivore,Bird,1348
8136,Short-tailed swift,Carnivore,Bird,6897
8137,Short-tailed woodstar,Herbivore,Bird,6858
8138,Short-toed coucal,Carnivore,Bird,1245
8139,Short-toed rock thrush,Carnivore,Bird,1462
8140,Short-toed snake eagle,Carnivore,Bird,14893
8141,Short-toed treecreeper,Carnivore,Bird,15393
8142,Short-winged cisticola,Carnivore,Bird,2969
8143,Shovel-billed kookaburra,Carnivore,Bird,4604
8144,Shrike-like tanager,Omnivore,Bird,5898
8145,Shy albatross,Carnivore,Bird,19628
8146,Shy heathwren,Carnivore,Bird,5628
8147,Siamese fireback,Omnivore,Bird,3335
8148,Siau pitta,Carnivore,Bird,1287
8149,Siau scops owl,Carnivore,Bird,3068
8150,Siberian accentor,Carnivore,Bird,27930
8151,Siberian blue robin,Carnivore,Bird,4670
8152,Siberian crane,Omnivore,Bird,27811
8153,Siberian grouse,Herbivore,Bird,8802
8154,Siberian jay,Omnivore,Bird,38825
8155,Siberian nuthatch,Carnivore,Bird,20856
8156,Siberian rubythroat,Carnivore,Bird,4974
8157,Siberian thrush,Omnivore,Bird,2367
8158,Sibilant sirystes,Carnivore,Bird,1612
8159,Sichuan bush warbler,Carnivore,Bird,3581
8160,Sichuan jay,Omnivore,Bird,2934
8161,Sichuan leaf warbler,Carnivore,Bird,1005
8162,Sichuan partridge,Herbivore,Bird,6981
8163,Sichuan thrush,Omnivore,Bird,1218
8164,Sichuan tit,Omnivore,Bird,2359
8165,Sichuan treecreeper,Omnivore,Bird,4063
8166,Sickle-billed vanga,Carnivore,Bird,7707
8167,Sickle-winged chat,Omnivore,Bird,7901
8168,Sickle-winged guan,Herbivore,Bird,6898
8169,Sickle-winged nightjar,Carnivore,Bird,5408
8170,Sick's swift,Carnivore,Bird,6771
8171,Sierra Leone prinia,Carnivore,Bird,2020
8172,Sierra Madre ground warbler,Carnivore,Bird,8434
8173,Sierra Madre sparrow,Omnivore,Bird,5921
8174,Sierra Nevada brushfinch,Omnivore,Bird,2776
8175,Sierran elaenia,Omnivore,Bird,2365
8176,Sikkim treecreeper,Carnivore,Bird,2151
8177,Sikkim wedge-billed babbler,Carnivore,Bird,4599
8178,Silky-tailed nightjar,Carnivore,Bird,8321
8179,Silver gull,Carnivore,Bird,7848
8180,Silver oriole,Omnivore,Bird,2068
8181,Silver pheasant,Herbivore,Bird,10599
8182,Silver teal,Herbivore,Bird,4188
8183,Silver-backed butcherbird,Omnivore,Bird,2274
8184,Silver-backed needletail,Carnivore,Bird,1291
8185,Silver-backed tanager,Omnivore,Bird,1362
8186,Silver-beaked tanager,Omnivore,Bird,6203
8187,Silver-breasted broadbill,Carnivore,Bird,4060
8188,Silver-capped fruit dove,Herbivore,Bird,1590
8189,Silver-crowned friarbird,Omnivore,Bird,1281
8190,Silver-eared honeyeater,Omnivore,Bird,1914
8191,Silver-eared laughingthrush,Omnivore,Bird,1400
8192,Silver-eared mesia,Carnivore,Bird,6254
8193,Silvered antbird,Carnivore,Bird,7047
8194,Silvereye,Omnivore,Bird,11917
8195,Silver-rumped spinetail,Carnivore,Bird,1288
8196,Silver-throated bushtit,Carnivore,Bird,6580
8197,Silver-throated tanager,Herbivore,Bird,16955
8198,Silver-tipped imperial pigeon,Herbivore,Bird,1373
8199,Silvery grebe,Carnivore,Bird,5981
8200,Silvery pigeon,Herbivore,Bird,10693
8201,Silvery-cheeked antshrike,Carnivore,Bird,2488
8202,Silvery-cheeked hornbill,Herbivore,Bird,2888
8203,Silvery-fronted tapaculo,Carnivore,Bird,4317
8204,Silvery-throated jay,Carnivore,Bird,3738
8205,Silvery-throated spinetail,Carnivore,Bird,1389
8206,Simeulue parrot,Herbivore,Bird,2737
8207,Simeulue scops owl,Carnivore,Bird,1421
8208,Simple greenbul,Herbivore,Bird,2202
8209,Sinai rosefinch,Herbivore,Bird,1327
8210,Sinaloa crow,Omnivore,Bird,2278
8211,Sinaloa martin,Carnivore,Bird,3737
8212,Sinaloa wren,Carnivore,Bird,4772
8213,Sincorá antwren,Carnivore,Bird,4357
8214,Sind sparrow,Herbivore,Bird,29805
8215,Sind woodpecker,Carnivore,Bird,3478
8216,Singing bush lark,Omnivore,Bird,18213
8217,Singing cisticola,Carnivore,Bird,1757
8218,Singing honeyeater,Omnivore,Bird,7157
8219,Singing quail,Herbivore,Bird,5955
8220,Singing starling,Omnivore,Bird,3032
8221,Sinú parakeet,Herbivore,Bird,3526
8222,Sira barbet,Herbivore,Bird,7697
8223,Sira curassow,Herbivore,Bird,14624
