,Species1,Family1,Order1,Mass,Wing.Length,Habitat,Habitat.Density,Trophic.Level,Primary.Lifestyle,Centroid.Latitude,Centroid.Longitude,Animals
5297,Phylidonyris pyrrhopterus,Meliphagidae,Passeriformes,16.3,74.3,Forest,2,Herbivore,Insessorial,-37.11,146.9,Crescent honeyeater
5298,Plectorhyncha lanceolata,Meliphagidae,Passeriformes,40.6,110.8,Forest,2,Herbivore,Insessorial,-28.84,146.02,Striped honeyeater
5299,Prosthemadera novaeseelandiae,Meliphagidae,Passeriformes,105.8,147.8,Forest,1,Herbivore,Insessorial,-39.14,172.93,Tūī
5300,Ptiloprora erythropleura,Meliphagidae,Passeriformes,21.1,77.6,Forest,1,Omnivore,Insessorial,-3.63,137.41,Rufous-sided honeyeater
5301,Ptiloprora guisei,Meliphagidae,Passeriformes,25.8,87.6,Forest,1,Carnivore,Insessorial,-6.62,145.33,Rufous-backed honeyeater
5302,Ptiloprora mayri,Meliphagidae,Passeriformes,30.5,95.1,Forest,1,Omnivore,Insessorial,-2.62,139.15,Mayr's honeyeater
5303,Ptiloprora meekiana,Meliphagidae,Passeriformes,18.5,76.4,Forest,1,Carnivore,Insessorial,-5.53,142.31,Yellowish-streaked honeyeater
5304,Ptiloprora perstriata,Meliphagidae,Passeriformes,26.6,93.7,Forest,1,Omnivore,Insessorial,-4.85,140.62,Grey-streaked honeyeater
5305,Ptiloprora plumbea,Meliphagidae,Passeriformes,14.1,76.1,Forest,1,Omnivore,Insessorial,-5.44,141.95,Leaden honeyeater
5306,Ptilotula flavescens,Meliphagidae,Passeriformes,12.4,72.7,Forest,2,Herbivore,Insessorial,-16.8,133.11,Yellow-tinted honeyeater
5307,Ptilotula fusca,Meliphagidae,Passeriformes,17.7,81.0,Forest,2,Omnivore,Insessorial,-30.3,148.29,Fuscous honeyeater
5308,Ptilotula keartlandi,Meliphagidae,Passeriformes,15.2,77.4,Woodland,2,Omnivore,Insessorial,-22.18,131.55,Grey-headed honeyeater
5309,Ptilotula ornata,Meliphagidae,Passeriformes,17.6,81.5,Woodland,2,Omnivore,Insessorial,-32.9,132.41,Yellow-plumed honeyeater
5310,Ptilotula penicillata,Meliphagidae,Passeriformes,19.4,79.0,Forest,2,Omnivore,Insessorial,-26.17,135.61,White-plumed honeyeater
5311,Ptilotula plumula,Meliphagidae,Passeriformes,16.5,77.5,Woodland,2,Herbivore,Insessorial,-24.85,133.87,Grey-fronted honeyeater
5312,Purnella albifrons,Meliphagidae,Passeriformes,17.4,80.7,Shrubland,2,Herbivore,Insessorial,-30.62,132.18,White-fronted honeyeater
5313,Pycnopygius cinereus,Meliphagidae,Passeriformes,44.8,106.5,Forest,1,Herbivore,Insessorial,-5.63,142.98,Marbled honeyeater
5314,Pycnopygius ixoides,Meliphagidae,Passeriformes,27.6,82.4,Forest,1,Herbivore,Insessorial,-4.88,141.11,Plain honeyeater
5315,Pycnopygius stictocephalus,Meliphagidae,Passeriformes,38.5,107.3,Forest,2,Herbivore,Insessorial,-5.36,141.0,Streak-headed honeyeater
5316,Ramsayornis fasciatus,Meliphagidae,Passeriformes,12.7,70.5,Forest,2,Omnivore,Insessorial,-16.03,135.63,Bar-breasted honeyeater
5317,Ramsayornis modestus,Meliphagidae,Passeriformes,12.1,65.8,Shrubland,2,Omnivore,Insessorial,-12.43,143.32,Brown-backed honeyeater
5318,Stomiopera flava,Meliphagidae,Passeriformes,21.4,82.0,Forest,2,Herbivore,Generalist,-17.25,144.19,Yellow honeyeater
5319,Stomiopera unicolor,Meliphagidae,Passeriformes,30.7,94.7,Forest,2,Herbivore,Insessorial,-16.31,135.26,White-gaped honeyeater
5320,Stresemannia bougainvillei,Meliphagidae,Passeriformes,24.7,85.6,Forest,1,Omnivore,Insessorial,-6.06,155.21,Bougainville honeyeater
5321,Sugomel nigrum,Meliphagidae,Passeriformes,9.9,66.9,Shrubland,2,Omnivore,Insessorial,-26.21,133.35,Black honeyeater
5322,Timeliopsis fulvigula,Meliphagidae,Passeriformes,18.3,75.1,Forest,1,Carnivore,Insessorial,-5.25,141.77,Olive straightbill
5323,Timeliopsis griseigula,Meliphagidae,Passeriformes,32.0,93.7,Forest,1,Omnivore,Insessorial,-3.8,137.86,Tawny straightbill
5324,Trichodere cockerelli,Meliphagidae,Passeriformes,14.7,70.7,Forest,2,Herbivore,Insessorial,-13.8,143.39,White-streaked honeyeater
5325,Vosea whitemanensis,Meliphagidae,Passeriformes,48.0,103.3,Forest,1,Omnivore,Insessorial,-5.49,151.09,Gilliard's honeyeater
5326,Xanthotis flaviventer,Meliphagidae,Passeriformes,40.0,97.8,Forest,1,Carnivore,Insessorial,-5.86,140.99,Tawny-breasted honeyeater
5327,Xanthotis macleayanus,Meliphagidae,Passeriformes,31.0,87.0,Forest,1,Carnivore,Insessorial,-17.18,145.57,Macleay's honeyeater
5328,Xanthotis polygrammus,Meliphagidae,Passeriformes,20.0,73.8,Forest,1,Carnivore,Insessorial,-5.12,140.7,Spotted honeyeater
5329,Menura alberti,Menuridae,Passeriformes,928.0,261.9,Forest,1,Carnivore,Terrestrial,-28.62,152.33,Albert's lyrebird
5330,Menura novaehollandiae,Menuridae,Passeriformes,972.6,280.9,Forest,1,Carnivore,Terrestrial,-32.65,150.3,Superb lyrebird
5331,Allenia fusca,Mimidae,Passeriformes,67.1,122.8,Shrubland,1,Omnivore,Insessorial,15.24,-61.44,Scaly-breasted thrasher
5332,Cinclocerthia gutturalis,Mimidae,Passeriformes,69.2,103.1,Forest,1,Carnivore,Insessorial,14.38,-61.0,Grey trembler
5333,Cinclocerthia ruficauda,Mimidae,Passeriformes,55.0,98.0,Forest,1,Carnivore,Insessorial,15.45,-61.61,Brown trembler
5334,Dumetella carolinensis,Mimidae,Passeriformes,35.3,90.7,Shrubland,1,Omnivore,Insessorial,42.61,-95.25,Gray catbird
5335,Margarops fuscatus,Mimidae,Passeriformes,98.4,132.3,Shrubland,2,Omnivore,Insessorial,18.7,-67.29,Pearly-eyed thrasher
5336,Melanoptila glabrirostris,Mimidae,Passeriformes,35.4,92.2,Woodland,2,Omnivore,Insessorial,19.19,-89.37,Black catbird
5337,Melanotis caerulescens,Mimidae,Passeriformes,61.6,111.2,Forest,2,Omnivore,Generalist,20.9,-102.01,Blue mockingbird
5338,Melanotis hypoleucus,Mimidae,Passeriformes,68.0,107.4,Forest,2,Carnivore,Generalist,15.12,-90.12,Blue-and-white mockingbird
5339,Mimus dorsalis,Mimidae,Passeriformes,58.7,112.0,Shrubland,2,Omnivore,Generalist,-20.39,-65.73,Brown-backed mockingbird
5340,Mimus gilvus,Mimidae,Passeriformes,52.0,105.8,Shrubland,2,Carnivore,Generalist,5.98,-67.33,Tropical mockingbird
5341,Mimus graysoni,Mimidae,Passeriformes,65.5,106.5,Woodland,2,Omnivore,Insessorial,18.78,-110.99,Socorro mockingbird
5342,Mimus gundlachii,Mimidae,Passeriformes,66.8,110.6,Shrubland,2,Omnivore,Generalist,23.87,-76.57,Bahama mockingbird
5343,Mimus longicaudatus,Mimidae,Passeriformes,66.6,121.7,Shrubland,2,Omnivore,Generalist,-8.11,-78.27,Long-tailed mockingbird
5344,Mimus macdonaldi,Mimidae,Passeriformes,70.2,116.0,Shrubland,2,Omnivore,Generalist,-1.38,-89.67,Hood mockingbird
5345,Mimus melanotis,Mimidae,Passeriformes,50.5,106.6,Shrubland,2,Carnivore,Terrestrial,-0.83,-89.43,San Cristóbal mockingbird
5346,Mimus parvulus,Mimidae,Passeriformes,53.6,104.0,Shrubland,2,Omnivore,Insessorial,-0.5,-91.04,Galápagos mockingbird
5347,Mimus patagonicus,Mimidae,Passeriformes,57.8,101.7,Shrubland,3,Carnivore,Terrestrial,-39.92,-67.91,Patagonian mockingbird
5348,Mimus polyglottos,Mimidae,Passeriformes,48.5,112.3,Shrubland,2,Omnivore,Generalist,37.86,-98.85,Northern mockingbird
5349,Mimus saturninus,Mimidae,Passeriformes,63.7,114.7,Shrubland,2,Omnivore,Terrestrial,-20.24,-52.88,Chalk-browed mockingbird
5350,Mimus thenca,Mimidae,Passeriformes,66.0,113.2,Shrubland,2,Omnivore,Generalist,-35.65,-71.76,Chilean mockingbird
5351,Mimus trifasciatus,Mimidae,Passeriformes,62.7,117.8,Shrubland,3,Omnivore,Generalist,-1.31,-90.31,Floreana mockingbird
5352,Mimus triurus,Mimidae,Passeriformes,47.2,102.0,Shrubland,2,Carnivore,Terrestrial,-27.44,-61.29,White-banded mockingbird
5353,Oreoscoptes montanus,Mimidae,Passeriformes,44.2,97.7,Shrubland,3,Carnivore,Terrestrial,42.73,-111.95,Sage thrasher
5354,Ramphocinclus brachyurus,Mimidae,Passeriformes,50.0,93.9,Shrubland,2,Carnivore,Terrestrial,14.52,-60.9,White-breasted thrasher
5355,Toxostoma bendirei,Mimidae,Passeriformes,62.2,98.6,Shrubland,3,Omnivore,Generalist,33.97,-110.94,Bendire's thrasher
5356,Toxostoma cinereum,Mimidae,Passeriformes,59.0,98.2,Shrubland,2,Carnivore,Terrestrial,26.95,-112.81,Gray thrasher
5357,Toxostoma crissale,Mimidae,Passeriformes,62.7,101.2,Shrubland,2,Carnivore,Terrestrial,29.73,-107.36,Crissal thrasher
5358,Toxostoma curvirostre,Mimidae,Passeriformes,80.5,111.6,Shrubland,3,Omnivore,Terrestrial,27.84,-103.65,Curve-billed thrasher
5359,Toxostoma guttatum,Mimidae,Passeriformes,52.8,86.9,Forest,2,Carnivore,Terrestrial,20.48,-86.93,Cozumel thrasher
5360,Toxostoma lecontei,Mimidae,Passeriformes,61.9,96.0,Shrubland,3,Carnivore,Terrestrial,33.95,-115.13,LeConte's thrasher
5361,Toxostoma longirostre,Mimidae,Passeriformes,67.6,99.4,Shrubland,2,Carnivore,Terrestrial,25.82,-99.1,Long-billed thrasher
5362,Toxostoma ocellatum,Mimidae,Passeriformes,84.3,104.0,Shrubland,2,Carnivore,Terrestrial,18.92,-98.38,Ocellated thrasher
5363,Toxostoma redivivum,Mimidae,Passeriformes,84.4,102.4,Shrubland,2,Omnivore,Generalist,36.46,-120.09,California thrasher
5364,Toxostoma rufum,Mimidae,Passeriformes,68.8,102.5,Shrubland,1,Omnivore,Generalist,41.75,-92.94,Brown thrasher
5365,Lamprospiza melanoleuca,Mitrospingidae,Passeriformes,34.0,92.7,Forest,1,Herbivore,Insessorial,-4.86,-59.18,Red-billed pied tanager
5366,Mitrospingus cassinii,Mitrospingidae,Passeriformes,40.4,83.5,Forest,2,Omnivore,Insessorial,5.56,-78.04,Dusky-faced tanager
5367,Mitrospingus oleagineus,Mitrospingidae,Passeriformes,41.3,93.4,Forest,1,Carnivore,Insessorial,5.33,-61.38,Olive-backed tanager
5368,Orthogonys chloricterus,Mitrospingidae,Passeriformes,39.0,90.4,Forest,1,Omnivore,Insessorial,-23.52,-45.74,Olive-green tanager
5369,Arcanator orostruthus,Modulatricidae,Passeriformes,32.7,85.3,Forest,1,Carnivore,Terrestrial,-9.81,36.55,Dapple-throat
5370,Kakamega poliothorax,Modulatricidae,Passeriformes,36.4,83.8,Forest,1,Carnivore,Terrestrial,1.41,22.35,Grey-chested babbler
5371,Modulatrix stictigula,Modulatricidae,Passeriformes,30.5,77.7,Forest,1,Omnivore,Generalist,-7.61,35.93,Spot-throat
5372,Mohoua albicilla,Mohouidae,Passeriformes,17.6,70.4,Forest,1,Carnivore,Insessorial,-39.09,175.84,Whitehead (bird)
5373,Mohoua novaeseelandiae,Mohouidae,Passeriformes,12.1,60.4,Forest,1,Carnivore,Insessorial,-43.68,170.49,Pipipi
5374,Mohoua ochrocephala,Mohouidae,Passeriformes,27.7,80.5,Forest,1,Omnivore,Insessorial,-45.19,167.84,Yellowhead (bird)
5375,Arses insularis,Monarchidae,Passeriformes,19.3,78.6,Forest,1,Carnivore,Insessorial,-3.76,141.57,Ochre-collared monarch
5376,Arses kaupi,Monarchidae,Passeriformes,13.5,79.3,Forest,1,Carnivore,Insessorial,-17.72,145.73,Pied monarch
5377,Arses lorealis,Monarchidae,Passeriformes,13.7,77.0,Forest,1,Carnivore,Insessorial,-12.58,142.52,Frill-necked monarch
5378,Arses telescopthalmus,Monarchidae,Passeriformes,15.3,81.0,Forest,1,Carnivore,Insessorial,-6.7,141.44,Frilled monarch
5379,Carterornis castus,Monarchidae,Passeriformes,14.0,66.0,,1,Carnivore,Insessorial,-7.62,131.4,Tanimbar monarch
5380,Carterornis chrysomela,Monarchidae,Passeriformes,15.6,72.0,Forest,1,Carnivore,Insessorial,-5.26,141.05,Golden monarch
5381,Carterornis leucotis,Monarchidae,Passeriformes,11.4,69.2,Shrubland,1,Carnivore,Insessorial,-22.03,148.79,White-eared monarch
5382,Carterornis pileatus,Monarchidae,Passeriformes,14.0,69.4,Forest,1,Carnivore,Insessorial,0.03,127.72,White-naped monarch
5383,Chasiempis ibidis,Monarchidae,Passeriformes,13.1,68.5,Forest,1,Carnivore,Insessorial,21.49,-157.97,Oʻahu ʻelepaio
5384,Chasiempis sandwichensis,Monarchidae,Passeriformes,13.7,73.7,Forest,1,Carnivore,Insessorial,19.59,-155.42,Hawaiʻi ʻelepaio
5385,Chasiempis sclateri,Monarchidae,Passeriformes,12.9,68.8,Forest,1,Carnivore,Insessorial,22.1,-159.57,Kauaʻi ʻelepaio
5386,Clytorhynchus hamlini,Monarchidae,Passeriformes,34.6,94.6,Forest,1,Carnivore,Insessorial,-11.68,160.31,Rennell shrikebill
5387,Clytorhynchus nigrogularis,Monarchidae,Passeriformes,55.7,102.9,Forest,1,Carnivore,Insessorial,-17.44,172.01,Black-throated shrikebill
5388,Clytorhynchus pachycephaloides,Monarchidae,Passeriformes,26.3,89.1,Forest,1,Carnivore,Insessorial,-19.25,166.28,Southern shrikebill
5389,Clytorhynchus sanctaecrucis,Monarchidae,Passeriformes,55.7,90.5,Forest,1,Carnivore,Insessorial,-10.76,165.88,Santa Cruz shrikebill
5390,Clytorhynchus vitiensis,Monarchidae,Passeriformes,29.2,88.7,Forest,1,Carnivore,Insessorial,-17.42,154.27,Fiji shrikebill
5391,Grallina bruijnii,Monarchidae,Passeriformes,38.4,104.2,Forest,2,Carnivore,Terrestrial,-5.27,141.92,Torrent-lark
5392,Grallina cyanoleuca,Monarchidae,Passeriformes,82.6,172.1,Grassland,2,Carnivore,Terrestrial,-25.59,133.55,Magpie-lark
5393,Hypothymis azurea,Monarchidae,Passeriformes,11.1,69.8,Forest,1,Carnivore,Insessorial,16.05,98.4,Black-naped monarch
5394,Hypothymis coelestis,Monarchidae,Passeriformes,13.6,71.0,Forest,1,Carnivore,Insessorial,12.02,123.13,Celestial monarch
5395,Hypothymis helenae,Monarchidae,Passeriformes,9.9,64.9,Forest,1,Carnivore,Insessorial,13.55,122.98,Short-crested monarch
5396,Hypothymis puella,Monarchidae,Passeriformes,11.1,74.3,Forest,1,Carnivore,Insessorial,-2.16,121.32,Pale-blue monarch
5397,Mayrornis lessoni,Monarchidae,Passeriformes,11.2,68.0,Forest,2,Carnivore,Insessorial,-17.45,163.3,Slaty monarch
5398,Mayrornis schistaceus,Monarchidae,Passeriformes,11.2,69.6,Forest,1,Carnivore,Insessorial,-11.66,166.88,Vanikoro monarch
5399,Mayrornis versicolor,Monarchidae,Passeriformes,29.0,68.2,Forest,2,Carnivore,Insessorial,-19.17,-178.41,Ogea monarch
5400,Metabolus godeffroyi,Monarchidae,Passeriformes,16.4,87.0,Forest,2,Carnivore,Insessorial,9.54,138.12,Yap monarch
5401,Metabolus rugensis,Monarchidae,Passeriformes,23.6,102.5,Forest,2,Carnivore,Insessorial,7.37,151.74,Chuuk monarch
5402,Metabolus takatsukasae,Monarchidae,Passeriformes,16.4,67.5,Forest,2,Carnivore,Insessorial,15.02,145.64,Tinian monarch
5403,Monarcha castaneiventris,Monarchidae,Passeriformes,27.3,85.5,Forest,1,Carnivore,Insessorial,-7.78,158.08,Chestnut-bellied monarch
5404,Monarcha cinerascens,Monarchidae,Passeriformes,29.6,79.5,Forest,2,Carnivore,Insessorial,-3.25,126.73,Island monarch
5405,Monarcha frater,Monarchidae,Passeriformes,22.0,83.7,Forest,1,Carnivore,Insessorial,-5.5,141.3,Black-winged monarch
5406,Monarcha megarhynchus,Monarchidae,Passeriformes,27.3,80.0,Forest,1,Carnivore,Insessorial,-10.55,161.81,Monarcha
5407,Monarcha melanopsis,Monarchidae,Passeriformes,22.7,89.2,Forest,2,Carnivore,Insessorial,-28.07,149.38,Black-faced monarch
5408,Monarcha richardsii,Monarchidae,Passeriformes,27.3,76.4,Forest,1,Carnivore,Insessorial,-8.23,157.36,White-capped monarch
5409,Monarcha ugiensis,Monarchidae,Passeriformes,27.3,85.5,Forest,1,Carnivore,Insessorial,-10.47,162.01,Chestnut-bellied monarch
5410,Myiagra albiventris,Monarchidae,Passeriformes,12.3,70.5,Forest,2,Carnivore,Insessorial,-13.74,-172.17,Samoan flycatcher
5411,Myiagra alecto,Monarchidae,Passeriformes,23.6,86.4,Riverine,2,Carnivore,Insessorial,-12.02,137.95,Shining flycatcher
5412,Myiagra atra,Monarchidae,Passeriformes,12.3,72.1,Forest,1,Carnivore,Insessorial,-0.94,135.89,Biak black flycatcher
5413,Myiagra azureocapilla,Monarchidae,Passeriformes,12.9,78.2,Forest,1,Carnivore,Insessorial,-16.85,-58.95,Azure-crested flycatcher
5414,Myiagra caledonica,Monarchidae,Passeriformes,10.8,74.3,Woodland,2,Carnivore,Insessorial,-19.15,166.35,Melanesian flycatcher
5415,Myiagra castaneigularis,Monarchidae,Passeriformes,12.9,78.2,Forest,1,Carnivore,Insessorial,-17.44,178.36,Chestnut-throated flycatcher
5416,Myiagra cervinicauda,Monarchidae,Passeriformes,11.5,63.8,Forest,1,Carnivore,Insessorial,-10.55,161.81,Makira flycatcher
5417,Myiagra cervinicolor,Monarchidae,Passeriformes,20.2,70.2,Forest,1,Carnivore,Insessorial,-2.95,150.88,Dyaul flycatcher
5418,Myiagra cyanoleuca,Monarchidae,Passeriformes,17.5,87.1,Shrubland,2,Carnivore,Insessorial,-29.81,147.3,Satin flycatcher
5419,Myiagra eichhorni,Monarchidae,Passeriformes,20.2,70.2,Forest,1,Carnivore,Insessorial,-5.13,150.89,Velvet flycatcher
5420,Myiagra erythrops,Monarchidae,Passeriformes,12.1,67.0,Forest,2,Carnivore,Insessorial,7.45,134.54,Palau flycatcher
5421,Myiagra ferrocyanea,Monarchidae,Passeriformes,12.8,69.0,Forest,1,Carnivore,Insessorial,-7.83,157.94,Steel-blue flycatcher
5422,Myiagra galeata,Monarchidae,Passeriformes,11.0,67.6,Forest,2,Carnivore,Insessorial,-1.37,128.18,Moluccan flycatcher
5423,Myiagra hebetior,Monarchidae,Passeriformes,20.2,70.2,Forest,1,Carnivore,Insessorial,-1.43,149.62,Mussau flycatcher
5424,Myiagra inquieta,Monarchidae,Passeriformes,20.9,99.0,Woodland,2,Carnivore,Insessorial,-31.83,143.16,Restless flycatcher
5425,Myiagra nana,Monarchidae,Passeriformes,13.5,87.1,Woodland,2,Carnivore,Insessorial,-16.21,132.7,Paperbark flycatcher
5426,Myiagra oceanica,Monarchidae,Passeriformes,12.1,80.6,Forest,2,Carnivore,Insessorial,7.26,151.72,Oceanic flycatcher
5427,Myiagra pluto,Monarchidae,Passeriformes,12.1,80.4,Forest,2,Carnivore,Insessorial,6.87,158.24,Pohnpei flycatcher
5428,Myiagra rubecula,Monarchidae,Passeriformes,12.1,74.2,Forest,2,Carnivore,Insessorial,-22.39,142.56,Leaden flycatcher
5429,Myiagra ruficollis,Monarchidae,Passeriformes,10.1,71.1,Woodland,2,Carnivore,Insessorial,-12.32,135.22,Broad-billed flycatcher
5430,Myiagra vanikorensis,Monarchidae,Passeriformes,12.3,74.6,Forest,2,Carnivore,Insessorial,-17.4,162.07,Vanikoro flycatcher
5431,Neolalage banksiana,Monarchidae,Passeriformes,16.8,75.5,Forest,2,Carnivore,Insessorial,-15.81,167.45,Buff-bellied monarch
5432,Pomarea dimidiata,Monarchidae,Passeriformes,23.0,80.0,Forest,1,Carnivore,Insessorial,-20.07,-158.22,Rarotonga monarch
5433,Pomarea iphis,Monarchidae,Passeriformes,23.9,89.8,Forest,2,Carnivore,Insessorial,-8.91,-139.55,Iphis monarch
5434,Pomarea mendozae,Monarchidae,Passeriformes,29.6,90.2,Forest,1,Carnivore,Insessorial,-9.99,-138.83,Marquesan monarch
5435,Pomarea mira,Monarchidae,Passeriformes,29.6,103.9,Forest,1,Carnivore,Insessorial,,,Ua Pou monarch
5436,Pomarea nigra,Monarchidae,Passeriformes,25.4,90.1,Forest,1,Carnivore,Insessorial,-17.67,-149.55,Tahiti monarch
5437,Pomarea whitneyi,Monarchidae,Passeriformes,42.5,112.1,Forest,1,Carnivore,Insessorial,-10.5,-138.66,Fatu Hiva monarch
5438,Symposiachrus ateralbus,Monarchidae,Passeriformes,21.7,84.6,Forest,1,Carnivore,Insessorial,-2.96,150.87,Symposiachrus
5439,Symposiachrus axillaris,Monarchidae,Passeriformes,15.6,77.6,Forest,1,Carnivore,Insessorial,-5.91,143.63,Black monarch
5440,Symposiachrus barbatus,Monarchidae,Passeriformes,21.0,80.4,Forest,1,Carnivore,Insessorial,-7.49,157.43,Solomons monarch
5441,Symposiachrus boanensis,Monarchidae,Passeriformes,17.5,81.0,Forest,1,Carnivore,Insessorial,-3.0,127.9,Boano monarch
5442,Symposiachrus brehmii,Monarchidae,Passeriformes,41.0,75.0,Forest,1,Carnivore,Insessorial,-0.94,135.89,Biak monarch
5443,Symposiachrus browni,Monarchidae,Passeriformes,16.4,84.3,Forest,1,Carnivore,Insessorial,-8.26,157.39,Kolombangara monarch
5444,Symposiachrus everetti,Monarchidae,Passeriformes,16.4,68.8,Forest,2,Carnivore,Insessorial,-7.09,120.68,Tanahjampea monarch
5445,Symposiachrus guttula,Monarchidae,Passeriformes,16.4,79.0,Forest,1,Carnivore,Insessorial,-5.35,140.97,Spot-winged monarch
5446,Symposiachrus infelix,Monarchidae,Passeriformes,16.4,82.8,Forest,2,Carnivore,Insessorial,-2.1,146.98,Manus monarch
5447,Symposiachrus julianae,Monarchidae,Passeriformes,16.4,82.6,Forest,1,Carnivore,Insessorial,-1.2,129.85,Kofiau monarch
5448,Symposiachrus leucurus,Monarchidae,Passeriformes,16.4,77.6,Forest,2,Carnivore,Insessorial,-5.66,132.89,Kai monarch
5449,Symposiachrus loricatus,Monarchidae,Passeriformes,27.3,86.6,Forest,2,Carnivore,Insessorial,-3.42,126.61,Buru monarch
5450,Symposiachrus malaitae,Monarchidae,Passeriformes,21.0,84.8,Forest,1,Carnivore,Insessorial,-9.0,161.01,Solomons monarch
5451,Symposiachrus manadensis,Monarchidae,Passeriformes,22.5,84.1,Forest,1,Carnivore,Insessorial,-4.84,140.88,Hooded monarch
5452,Symposiachrus menckei,Monarchidae,Passeriformes,16.4,70.3,Forest,2,Carnivore,Insessorial,-1.42,149.61,Mussau monarch
5453,Symposiachrus mundus,Monarchidae,Passeriformes,27.3,80.9,Forest,1,Carnivore,Insessorial,-7.64,131.05,Black-bibbed monarch
5454,Symposiachrus rubiensis,Monarchidae,Passeriformes,27.3,95.0,Forest,1,Carnivore,Insessorial,-5.19,139.79,Rufous monarch
5455,Symposiachrus sacerdotum,Monarchidae,Passeriformes,37.0,72.0,Forest,1,Carnivore,Insessorial,-8.65,119.98,Flores monarch
5456,Symposiachrus trivirgatus,Monarchidae,Passeriformes,12.7,72.6,Forest,1,Carnivore,Insessorial,-18.17,143.58,Spectacled monarch
5457,Symposiachrus verticalis,Monarchidae,Passeriformes,21.7,84.6,Forest,1,Carnivore,Insessorial,-5.14,150.84,Black-tailed monarch
5458,Symposiachrus vidua,Monarchidae,Passeriformes,17.1,75.7,Forest,1,Carnivore,Insessorial,-10.55,161.81,White-collared monarch
5459,Terpsiphone affinis,Monarchidae,Passeriformes,19.2,91.3,Woodland,2,Carnivore,Insessorial,12.37,103.2,Blyth's paradise flycatcher
5460,Terpsiphone atrocaudata,Monarchidae,Passeriformes,18.7,91.6,Forest,2,Carnivore,Insessorial,34.57,132.24,Black paradise flycatcher
5461,Terpsiphone atrochalybeia,Monarchidae,Passeriformes,12.2,80.2,Forest,2,Carnivore,Insessorial,0.24,6.61,São Tomé paradise flycatcher
5462,Terpsiphone batesi,Monarchidae,Passeriformes,15.4,74.5,Shrubland,1,Carnivore,Insessorial,-0.99,19.36,Bates's paradise flycatcher
5463,Terpsiphone bedfordi,Monarchidae,Passeriformes,15.4,75.2,Forest,1,Carnivore,Insessorial,0.22,29.43,Bedford's paradise flycatcher
5464,Terpsiphone bourbonnensis,Monarchidae,Passeriformes,10.8,70.0,Forest,2,Carnivore,Insessorial,-20.94,55.99,Mascarene paradise flycatcher
5465,Terpsiphone cinnamomea,Monarchidae,Passeriformes,20.4,87.5,Forest,1,Carnivore,Insessorial,8.11,124.8,Rufous paradise flycatcher
5466,Terpsiphone corvina,Monarchidae,Passeriformes,18.0,88.1,Forest,2,Carnivore,Insessorial,-4.29,55.83,Seychelles paradise flycatcher
5467,Terpsiphone cyanescens,Monarchidae,Passeriformes,24.6,90.6,Forest,1,Carnivore,Insessorial,9.94,118.7,Blue paradise flycatcher
5468,Terpsiphone floris,Monarchidae,Passeriformes,19.2,91.3,Woodland,2,Carnivore,Insessorial,-8.86,120.08,Tenggara paradise flycatcher
5469,Terpsiphone incei,Monarchidae,Passeriformes,19.2,91.3,Woodland,2,Carnivore,Insessorial,33.61,114.28,Amur paradise flycatcher
5470,Terpsiphone mutata,Monarchidae,Passeriformes,13.2,80.4,Forest,2,Carnivore,Insessorial,-19.36,46.69,Malagasy paradise flycatcher
5471,Terpsiphone paradisi,Monarchidae,Passeriformes,19.2,95.0,Woodland,2,Carnivore,Insessorial,26.34,76.61,Indian paradise flycatcher
5472,Terpsiphone rufiventer,Monarchidae,Passeriformes,15.1,75.9,Forest,1,Carnivore,Insessorial,0.86,14.64,Red-bellied paradise flycatcher
5473,Terpsiphone rufocinerea,Monarchidae,Passeriformes,15.4,73.9,Shrubland,1,Carnivore,Insessorial,-2.65,12.34,Rufous-vented paradise flycatcher
5474,Terpsiphone unirufa,Monarchidae,Passeriformes,20.4,87.5,Forest,1,Carnivore,Insessorial,14.68,121.71,Rufous paradise flycatcher
5475,Terpsiphone viridis,Monarchidae,Passeriformes,13.2,79.4,Woodland,2,Carnivore,Insessorial,-2.08,22.29,African paradise flycatcher
5476,Trochocercus bivittatus,Monarchidae,Passeriformes,10.2,67.8,Forest,1,Carnivore,Insessorial,-12.64,33.13,Blue-mantled crested flycatcher
5477,Trochocercus cyanomelas,Monarchidae,Passeriformes,10.2,66.8,Forest,1,Carnivore,Insessorial,-27.71,29.16,Blue-mantled crested flycatcher
5478,Trochocercus nitens,Monarchidae,Passeriformes,11.8,64.7,Forest,1,Carnivore,Insessorial,0.96,15.82,Blue-headed crested flycatcher
5479,Amaurocichla bocagii,Motacillidae,Passeriformes,7.0,63.0,Forest,1,Carnivore,Terrestrial,0.21,6.56,São Tomé shorttail
5480,Anthus antarcticus,Motacillidae,Passeriformes,36.1,81.8,Grassland,3,Carnivore,Terrestrial,-54.37,-37.0,South Georgia pipit
5481,Anthus berthelotii,Motacillidae,Passeriformes,15.9,72.2,Rock,2,Carnivore,Terrestrial,28.79,-15.8,Berthelot's pipit
5482,Anthus bogotensis,Motacillidae,Passeriformes,25.1,79.2,Grassland,3,Omnivore,Terrestrial,-8.21,-74.29,Paramo pipit
5483,Anthus brachyurus,Motacillidae,Passeriformes,15.3,63.1,Grassland,3,Carnivore,Terrestrial,-8.68,23.48,Short-tailed pipit
5484,Anthus caffer,Motacillidae,Passeriformes,16.8,71.1,Grassland,2,Carnivore,Terrestrial,-18.02,28.3,Bushveld pipit
